"PERIODO","MES","MES_NOMBRE","SEMANA","NRO_ACCIDENTES"
2017,"05","Mayo","22",150
2017,"06","Junio","22",246
2017,"06","Junio","23",416
2017,"06","Junio","24",423
2017,"06","Junio","25",340
2017,"06","Junio","26",282
2017,"07","Julio","26",87
2017,"07","Julio","27",365
2017,"07","Julio","28",400
2017,"07","Julio","29",404
2017,"07","Julio","30",430
2017,"07","Julio","31",79
2017,"08","Agosto","31",389
2017,"08","Agosto","32",419
2017,"08","Agosto","33",461
2017,"08","Agosto","34",388
2017,"08","Agosto","35",216
2017,"09","Septiembre","35",172
2017,"09","Septiembre","36",402
2017,"09","Septiembre","37",450
2017,"09","Septiembre","38",424
2017,"09","Septiembre","39",358
2017,"10","Octubre","39",40
2017,"10","Octubre","40",445
2017,"10","Octubre","41",380
2017,"10","Octubre","42",387
2017,"10","Octubre","43",404
2017,"10","Octubre","44",141
2017,"11","Noviembre","44",262
2017,"11","Noviembre","45",331
2017,"11","Noviembre","46",421
2017,"11","Noviembre","47",413
2017,"11","Noviembre","48",267
2017,"12","Diciembre","48",183
2017,"12","Diciembre","49",422
2017,"12","Diciembre","50",435
2017,"12","Diciembre","51",471
2017,"12","Diciembre","52",262
2018,"01","Enero","01",244
2018,"01","Enero","02",256
2018,"01","Enero","03",382
2018,"01","Enero","04",346
2018,"01","Enero","05",156
2018,"02","Febrero","05",250
2018,"02","Febrero","06",400
2018,"02","Febrero","07",438
2018,"02","Febrero","08",413
2018,"02","Febrero","09",173
2018,"03","Marzo","09",226
2018,"03","Marzo","10",348
2018,"03","Marzo","11",396
2018,"03","Marzo","12",379
2018,"03","Marzo","13",234
2018,"04","Abril","13",34
2018,"04","Abril","14",434
2018,"04","Abril","15",371
2018,"04","Abril","16",402
2018,"04","Abril","17",398
2018,"04","Abril","18",62
2018,"05","Mayo","18",256
2018,"05","Mayo","19",451
2018,"05","Mayo","20",409
2018,"05","Mayo","21",424
2018,"05","Mayo","22",209
2018,"06","Junio","22",172
2018,"06","Junio","23",360
2018,"06","Junio","24",365
2018,"06","Junio","25",389
2018,"06","Junio","26",312
2018,"07","Julio","26",26
2018,"07","Julio","27",305
2018,"07","Julio","28",380
2018,"07","Julio","29",396
2018,"07","Julio","30",384
2018,"07","Julio","31",123
2018,"08","Agosto","31",305
2018,"08","Agosto","32",400
2018,"08","Agosto","33",444
2018,"08","Agosto","34",393
2018,"08","Agosto","35",316
2018,"09","Septiembre","35",87
2018,"09","Septiembre","36",401
2018,"09","Septiembre","37",405
2018,"09","Septiembre","38",417
2018,"09","Septiembre","39",446
2018,"10","Octubre","40",418
2018,"10","Octubre","41",390
2018,"10","Octubre","42",378
2018,"10","Octubre","43",416
2018,"10","Octubre","44",213
2018,"11","Noviembre","44",232
2018,"11","Noviembre","45",412
2018,"11","Noviembre","46",469
2018,"11","Noviembre","47",445
2018,"11","Noviembre","48",234
2018,"12","Diciembre","01",32
2018,"12","Diciembre","48",102
2018,"12","Diciembre","49",438
2018,"12","Diciembre","50",461
2018,"12","Diciembre","51",420
2018,"12","Diciembre","52",321
