"","NOMBRE","Atropello","Choque","Otro","HERIDO","MUERTO","SOLO_DANOS","NO_LABORAL","LABORAL","cluster"
"265","Sin Nombre",0,3,2,4,0,1,1,4,"1"
"266","Sucre",71,452,156,456,4,219,199,480,"3"
"267","Suramericana",79,1325,255,697,9,953,377,1282,"3"
"268","Tejelo",110,347,266,544,5,174,229,494,"3"
"269","Tenche",42,822,139,489,6,508,194,809,"3"
"270","Terminal de Transporte",160,2107,639,1332,19,1555,799,2107,"2"
"271","Toscana",53,580,181,473,11,330,245,569,"3"
"272","Travesías",18,31,31,62,0,18,29,51,"1"
"273","Trece de Noviembre",14,38,4,24,0,32,11,45,"1"
"274","Tricentenario",48,695,229,548,5,419,279,693,"3"
"275","Trinidad",140,751,183,620,6,448,285,789,"3"
"276","U.D. Atanasio Girardot",33,210,59,161,0,141,80,222,"1"
"277","U.P.B",6,97,25,47,1,80,23,105,"1"
"278","Universidad de Antioquia",47,599,242,487,4,397,207,681,"3"
"279","Universidad Nacional",90,1385,370,941,12,892,450,1395,"3"
"280","Veinte de Julio",78,187,94,273,6,80,131,228,"1"
"281","Versalles No.1",128,221,163,354,3,155,187,325,"3"
"282","Versalles No.2",17,27,13,34,0,23,14,43,"1"
"283","Villa Carlota",76,1892,261,885,10,1334,368,1861,"3"
"284","Villa del Socorro",92,220,117,282,3,144,159,270,"1"
"285","Villa Flora",45,501,274,519,0,301,271,549,"3"
"286","Villa Guadalupe",94,154,114,270,2,90,131,231,"1"
"287","Villa Hermosa",98,282,176,406,2,148,208,348,"3"
"288","Villa Lilliam",39,40,41,99,0,21,56,64,"1"
"289","Villa Niza",36,85,53,118,2,54,59,115,"1"
"290","Villa Nueva",400,2022,486,1387,19,1502,661,2247,"2"
"291","Villa Turbay",8,15,20,35,0,8,19,24,"1"
"292","Villatina",95,199,177,340,2,129,179,292,"1"
"293","Volcana Guayabal",0,0,1,1,0,0,0,1,"1"
"294","Yarumalito",3,6,4,9,0,4,4,9,"1"
"295","Yolombo",1,11,5,9,0,8,6,11,"1"
